genotype	sample
Q135	ERR5880619
SRA5	ERR5881408
Q238	ERR5881556
SRA3	ERR5881566
SRA3	ERR5881616
Q157	ERR5881673
Q135	ERR5881730
Q157	ERR5881766
Q135	ERR5881820
Q238	ERR5881831
Q135	ERR5881912
SRA5	ERR5881975
Q151	ERR5882008
Q151	ERR5882378
SRA3	ERR5882600
SRA5	ERR5882606
Q151	ERR5882631
SRA3	ERR5882821
Q135	ERR5883420
KQB09-20432	ERR5883596
KQB09-20432	ERR5883673
Q157	ERR5883918
KQB09-20432	ERR5883995
Q151	ERR5884011
Q151	ERR5884014
Q238	ERR5884032
Q151	ERR5884047
Q135	ERR5884118
SRA5	ERR5884188
Q238	ERR5884190
SRA3	ERR5884419
KQB09-20432	ERR5885403
SRA3	ERR5885438
Q135	ERR5886760
Q238	ERR5890966
SRA5	ERR5900056
Q157	ERR5900082
Q151	ERR5902818
SRA5	ERR5906599
KQB09-20432	ERR5906601
Q157	ERR5906604
Q238	ERR5906605
KQB09-20432	ERR5908673
SRA5	ERR5914380
Q157	ERR5917041
KQB09-20432	ERR5917042
Q135	ERR5919572
SRA3	ERR5927876
SRA3	ERR5927878
Q135	ERR5927880
Q238	ERR5927881
SRA5	ERR5927882
Q151	ERR5927883
SRA3	ERR5934427
SRA3	ERR5935630
KQB09-20432	ERR5943380
Q238	ERR5943487
Q135	ERR5947504
SRA5	ERR5947505
KQB09-20432	ERR5948277
Q157	ERR5948284
KQB09-20432	ERR5948286
Q157	ERR5948291
Q238	ERR5948326
Q135	ERR5948420
Q238	ERR5948456
Q151	ERR5950057
Q151	ERR5950059
SRA5	ERR5950343
Q238	ERR5950349
Q157	ERR5950935
SRA5	ERR5952368
SRA3	ERR5952766
Q151	ERR5954095
Q238	ERR5954113
Q135	ERR5954139
Q238	ERR5954215
SRA5	ERR5957070
Q157	ERR5957071
KQB09-20432	ERR5957074
SRA3	ERR5957083
Q157	ERR5959253
Q157	ERR5959255
KQB09-20432	ERR5959749
SRA5	ERR5960092
Q151	ERR5970143
SRA3	ERR5970264
SRA3	ERR5974750
Q238	ERR5975231
Q157	ERR5976733
Q151	ERR5976777
SRA5	ERR5976778
Q151	ERR5976781
SRA3	ERR5976782
Q135	ERR5978018
Q157	ERR5978222
Q157	ERR5978239
Q151	ERR5979921
Q238	ERR5981343
Q135	ERR5986540
SRA5	ERR5986541
Q135	ERR5986956
KQB09-20432	ERR5987180
KQB09-20432	ERR5987787
KQB09-20432	ERR5988136
KQB09-20432	SRR5258960
KQB09-20432	SRR5258961
KQB09-20432	SRR5259000
KQB09-20432	SRR5259001
