Run,BioProject,Cultivar,Age,dev_stage,tissue
SRR9025216,PRJNA536977,RTx430,,,
SRR9025270,PRJNA537060,RTx430,,,
SRR9025275,PRJNA536844,RTx430,,,
SRR9025322,PRJNA537377,RTx430,,,
SRR9025332,PRJNA537312,RTx430,,,
SRR9025425,PRJNA536971,RTx430,,,
SRR9025860,PRJNA537450,BTx642,,,
SRR9025924,PRJNA537457,BTx642,,,
SRR9025933,PRJNA537307,BTx642,,,
SRR9025966,PRJNA537465,BTx642,,,
SRR9025982,PRJNA537229,BTx642,,,
SRR9026110,PRJNA537301,BTx642,,,
SRR9026127,PRJNA537410,BTx642,,,
SRR10666207,PRJNA568568,RTx430,,,
SRR10666276,PRJNA569108,RTx430,,,
SRR10666371,PRJNA582714,BTx642,,,
SRR10666378,PRJNA582648,BTx642,,,
SRR10666396,PRJNA582638,BTx642,,,
SRR10666399,PRJNA582673,BTx642,,,
SRR10666429,PRJNA582704,BTx642,,,
SRR10666434,PRJNA582696,BTx642,,,
SRR10666442,PRJNA582630,BTx642,,,
SRR10666476,PRJNA582663,BTx642,,,
SRR10666503,PRJNA582618,BTx642,,,
SRR11077563,PRJNA582884,RTx430,,,
SRR11077580,PRJNA582793,RTx430,,,
SRR11077614,PRJNA583006,RTx430,,,
SRR11077617,PRJNA582975,RTx430,,,
SRR11077620,PRJNA582757,RTx430,,,
SRR11077653,PRJNA582889,RTx430,,,
SRR11077696,PRJNA582853,RTx430,,,
SRR11077717,PRJNA582774,RTx430,,,
SRR11077764,PRJNA582948,RTx430,,,
SRR11077779,PRJNA582995,RTx430,,,
SRR11077809,PRJNA583008,RTx430,,,
SRR10906294,PRJNA568414,BTx642,,,
SRR10906295,PRJNA568415,BTx642,,,
SRR10906348,PRJNA568250,BTx642,,,
SRR10906375,PRJNA568762,BTx642,,,
SRR8464871,PRJNA499837,Keller,,,
SRR8464872,PRJNA499836,Keller,,,
SRR8464873,PRJNA499850,Keller,,,
SRR8464874,PRJNA499849,Keller,,,
SRR8464875,PRJNA499848,Keller,,,
SRR8464876,PRJNA499847,Keller,,,
SRR8464877,PRJNA499846,Keller,,,
SRR8464878,PRJNA499845,Keller,,,
SRR8464879,PRJNA499833,Keller,,,
SRR8464880,PRJNA499838,Keller,,,
SRR8464881,PRJNA499834,Keller,,,
SRR8464882,PRJNA499835,Keller,,,
SRR8464883,PRJNA499839,Keller,,,
SRR8464884,PRJNA499840,Keller,,,
SRR8464885,PRJNA499831,Keller,,,
SRR8464886,PRJNA499832,Keller,,,
SRR8464887,PRJNA499842,Keller,,,
SRR8464888,PRJNA499843,Keller,,,
SRR8464889,PRJNA499844,Keller,,,
SRR8464890,PRJNA499852,Keller,,,
SRR11011838,PRJNA581182,RTx430,,,
SRR20912171,PRJNA866867,BTx623,60d,Stem of Jointing stage,Stem
SRR20912172,PRJNA866867,BTx623,100d,Leaf Sheath of 15th day after pollination,Leaf Sheath
SRR20912173,PRJNA866867,BTx623,80d,Leaf Sheath of Heading stage,Leaf Sheath
SRR20912174,PRJNA866867,BTx623,100d,Leaf Vein of 15th day after pollination,Leaf Vein
SRR20912175,PRJNA866867,BTx623,80d,Leaf Vein of Heading stage,Leaf Vein
SRR20912176,PRJNA866867,BTx623,100d,Leaf of 15th day after pollination,Leaf
SRR20912177,PRJNA866867,BTx623,80d,Leaf of Heading stage,Leaf
SRR20912178,PRJNA866867,BTx623,60d,Leaf of Jointing stage,Leaf
SRR20912179,PRJNA866867,BTx623,100d,Endosperm 15th day after pollination,Endosperm
SRR20912180,PRJNA866867,BTx623,110d,Whole seed 25th day after pollination,Whole seed
SRR20912181,PRJNA866867,BTx623,105d,Whole seed 20th day after pollination,Whole seed
SRR20912182,PRJNA866867,BTx623,100d,Whole seed 15th day after pollination,Whole seed
SRR20912183,PRJNA866867,BTx623,95d,Whole seed 10th day after pollination,Whole seed
SRR20912184,PRJNA866867,BTx623,90d,Whole seed 5th day after pollination,Whole seed
SRR20912185,PRJNA866867,BTx623,80d,Heading stage Inflorescence,Inflorescence
SRR20912186,PRJNA866867,BTx623,60d,Primary Inflorescence,Inflorescence
SRR20912187,PRJNA866867,BTx623,100d,Stem of 15th day after pollination,Stem
SRR20912188,PRJNA866867,BTx623,80d,Stem of Heading stage,Stem
SRR20912189,PRJNA866867,BTx623,30d,Leaf of Five-leaf stage,Leaf
SRR20912190,PRJNA866867,BTx623,30d,Root of Five-leaf stage,Root
SRR6188828,PRJNA413691,Rio,,15 days after flowering,internode
SRR6188829,PRJNA413691,Rio,,15 days after flowering,internode
SRR6188846,PRJNA413691,Rio,,10 days after flowering,internode
SRR6188847,PRJNA413691,Rio,,15 days after flowering,internode
SRR6188848,PRJNA413691,Rio,,flowering,internode
SRR6188849,PRJNA413691,Rio,,flowering,internode
SRR6188850,PRJNA413691,Rio,,10 days after flowering,internode
SRR6188851,PRJNA413691,Rio,,10 days after flowering,internode
SRR6188852,PRJNA413691,Rio,,flag leaf stage,internode
SRR6188853,PRJNA413691,Rio,,flag leaf stage,internode
SRR6188854,PRJNA413691,Rio,,flag leaf stage,internode
SRR6188855,PRJNA413691,Rio,,flowering,internode
SRR19383836,PRJNA842061,Della,39 DAP,younger: elongating,Rind
SRR19383837,PRJNA842061,Della,39 DAP,younger: elongating,Rind
