SampleID,genotype,DOI,Strandness,Layout,PO_anatomy,PO_dev_stage,PECO,ConditionDescription,Replicate
ERR5880619,Q135,10.1007/s00122-022-04058-3,strand specific,paired-end,PO:0025204,PO:0007092,NA,19 weeks_Q135_Internode 8,3
ERR5881408,SRA5,10.1007/s00122-022-04058-3,strand specific,paired-end,PO:0025204,PO:0007092,NA,19 weeks_SRA5_Internode 8,3
ERR5881556,Q238,10.1007/s00122-022-04058-3,strand specific,paired-end,PO:0025204,PO:0007092,NA,19 weeks_Q238_Internode 8,3
ERR5881566,SRA3,10.1007/s00122-022-04058-3,strand specific,paired-end,PO:0025204,PO:0007092,NA,19 weeks_SRA3_Internode 8,3
ERR5881616,SRA3,10.1007/s00122-022-04058-3,strand specific,paired-end,PO:0025204,PO:0007092,NA,19 weeks_SRA3_Internode 8,3
ERR5881673,Q157,10.1007/s00122-022-04058-3,strand specific,paired-end,PO:0025204,PO:0007092,NA,19 weeks_Q157_Internode 8,3
ERR5881730,Q135,10.1007/s00122-022-04058-3,strand specific,paired-end,PO:0025204,PO:0007092,NA,19 weeks_Q135_Internode 8,3
ERR5881766,Q157,10.1007/s00122-022-04058-3,strand specific,paired-end,PO:0020142,PO:0007092,NA,19 weeks_Q157_Internode 5,3
ERR5881820,Q135,10.1007/s00122-022-04058-3,strand specific,paired-end,PO:0020142,PO:0007092,NA,19 weeks_Q135_Internode 5,3
ERR5881831,Q238,10.1007/s00122-022-04058-3,strand specific,paired-end,PO:0025204,PO:0007092,NA,19 weeks_Q238_Internode 8,3
ERR5881912,Q135,10.1007/s00122-022-04058-3,strand specific,paired-end,PO:0025204,PO:0007092,NA,19 weeks_Q135_Internode 8,3
ERR5881975,SRA5,10.1007/s00122-022-04058-3,strand specific,paired-end,PO:0025204,PO:0007092,NA,19 weeks_SRA5_Internode 8,3
ERR5882008,Q151,10.1007/s00122-022-04058-3,strand specific,paired-end,PO:0020142,PO:0007092,NA,19 weeks_Q151_Internode 5,3
ERR5882378,Q151,10.1007/s00122-022-04058-3,strand specific,paired-end,PO:0020142,PO:0007092,NA,19 weeks_Q151_Internode 5,3
ERR5882600,SRA3,10.1007/s00122-022-04058-3,strand specific,paired-end,PO:0025204,PO:0007092,NA,19 weeks_SRA3_Internode 8,3
ERR5882606,SRA5,10.1007/s00122-022-04058-3,strand specific,paired-end,PO:0020142,PO:0007092,NA,19 weeks_SRA5_Internode 5,3
