GO.ID,Term,Annotated,Significant,Expected,Classic,p.adj
GO:0010557,positive regulation of macromolecule bio...,509,5,0.56,0.00018,0.001
GO:0051254,positive regulation of RNA metabolic pro...,516,5,0.56,0.00019,0.001
GO:0031328,positive regulation of cellular biosynth...,520,5,0.57,0.00020,0.001
GO:0009891,positive regulation of biosynthetic proc...,527,5,0.57,0.00021,0.001
GO:0045935,positive regulation of nucleobase-contai...,537,5,0.59,0.00023,0.001
GO:0031325,positive regulation of cellular metaboli...,666,5,0.73,0.00063,0.0019
GO:0051173,positive regulation of nitrogen compound...,670,5,0.73,0.00064,0.0019
GO:0010604,positive regulation of macromolecule met...,709,5,0.77,0.00083,0.0021
GO:0006357,regulation of transcription by RNA polym...,737,5,0.8,0.00099,0.0021
GO:0009893,positive regulation of metabolic process,743,5,0.81,0.00103,0.0021
GO:0010336,gibberellic acid homeostasis,1,1,0,0.00109,0.0021
GO:0048522,positive regulation of cellular process,887,5,0.97,0.00225,0.0039
GO:0006366,transcription by RNA polymerase II,903,5,0.99,0.00244,0.0039
GO:0048518,positive regulation of biological proces...,1055,5,1.15,0.00477,0.0072
GO:0006438,valyl-tRNA aminoacylation,5,1,0.01,0.00544,0.0076
GO:0000304,response to singlet oxygen,7,1,0.01,0.00761,0.0084
GO:0010343,singlet oxygen-mediated programmed cell ...,7,1,0.01,0.00761,0.0084
GO:0071452,cellular response to singlet oxygen,7,1,0.01,0.00761,0.0084
GO:0097468,programmed cell death in response to rea...,7,1,0.01,0.00761,0.0084
GO:0048878,chemical homeostasis,393,3,0.43,0.00855,0.009
GO:0016320,endoplasmic reticulum membrane fusion,9,1,0.01,0.00978,0.0098
