GO.ID,Term,Annotated,Significant,Expected,Classic,p.adj
GO:0043066,negative regulation of apoptotic process,29,2,0.07,0.0025,0.0082
GO:0043069,negative regulation of programmed cell d...,35,2,0.09,0.0036,0.0082
GO:0042981,regulation of apoptotic process,39,2,0.1,0.0044,0.0082
GO:0009061,anaerobic respiration,2,1,0.01,0.0051,0.0082
GO:0080119,ER body organization,2,1,0.01,0.0051,0.0082
GO:0080136,priming of cellular response to stress,2,1,0.01,0.0051,0.0082
GO:1902065,response to L-glutamate,2,1,0.01,0.0051,0.0082
GO:0006808,regulation of nitrogen utilization,3,1,0.01,0.0076,0.0082
GO:0010200,response to chitin,3,1,0.01,0.0076,0.0082
GO:0010821,regulation of mitochondrion organization,3,1,0.01,0.0076,0.0082
GO:0010823,negative regulation of mitochondrion org...,3,1,0.01,0.0076,0.0082
GO:0035794,positive regulation of mitochondrial mem...,3,1,0.01,0.0076,0.0082
GO:0035795,negative regulation of mitochondrial mem...,3,1,0.01,0.0076,0.0082
GO:0043276,anoikis,3,1,0.01,0.0076,0.0082
GO:0046740,transport of virus in host, cell to cell,3,1,0.01,0.0076,0.0082
GO:0090392,sepal giant cell differentiation,3,1,0.01,0.0076,0.0082
GO:0097345,mitochondrial outer membrane permeabiliz...,3,1,0.01,0.0076,0.0082
GO:1901028,regulation of mitochondrial outer membra...,3,1,0.01,0.0076,0.0082
GO:1901029,negative regulation of mitochondrial out...,3,1,0.01,0.0076,0.0082
GO:1902108,regulation of mitochondrial membrane per...,3,1,0.01,0.0076,0.0082
GO:1902110,positive regulation of mitochondrial mem...,3,1,0.01,0.0076,0.0082
GO:1902686,mitochondrial outer membrane permeabiliz...,3,1,0.01,0.0076,0.0082
GO:1905709,negative regulation of membrane permeabi...,3,1,0.01,0.0076,0.0082
GO:1905710,positive regulation of membrane permeabi...,3,1,0.01,0.0076,0.0082
GO:2000209,regulation of anoikis,3,1,0.01,0.0076,0.0082
GO:2000210,positive regulation of anoikis,3,1,0.01,0.0076,0.0082
GO:2000811,negative regulation of anoikis,3,1,0.01,0.0076,0.0082
GO:0008299,isoprenoid biosynthetic process,174,3,0.44,0.0099,0.0099
GO:0043067,regulation of programmed cell death,59,2,0.15,0.0099,0.0099
