Module,trait,rho,p,bonferroni
2,sweet,-0.827483288436376,4.27206438109711e-30,1.931400306694e-26
4,sweet,0.863141630396879,2.54271872383848e-35,1.14956313504738e-31
8,sweet,-0.816995540800934,8.76872045244822e-29,3.96433851655184e-25
9,sweet,0.865239179923967,1.12951413727125e-35,5.10653341460333e-32
10,sweet,-0.824861351527515,9.26558947959477e-30,4.1889730037248e-26
14,sweet,-0.865239179923967,1.12951413727115e-35,5.10653341460289e-32
15,sweet,0.865239179923967,1.12951413727125e-35,5.10653341460333e-32
20,sweet,0.865239179923967,1.12951413727125e-35,5.10653341460333e-32
21,sweet,0.865239179923967,1.12951413727125e-35,5.10653341460333e-32
22,sweet,-0.86104408086979,5.6482214252039e-35,2.55356090633468e-31
23,sweet,0.865239179923967,1.12951413727125e-35,5.10653341460333e-32
24,sweet,-0.865239179923967,1.12951413727115e-35,5.10653341460289e-32
27,sweet,-0.803885856256631,2.94962717038266e-27,1.33352644373e-23
28,sweet,0.857897756579158,1.82534549392019e-34,8.25238697801318e-31
29,sweet,-0.865239179923967,1.12951413727115e-35,5.10653341460289e-32
31,sweet,-0.865239179923967,1.12951413727115e-35,5.10653341460289e-32
32,sweet,0.864190405160423,1.69758002901939e-35,7.67475931119667e-32
36,sweet,-0.865239179923967,1.12951413727115e-35,5.10653341460289e-32
40,sweet,0.836922261308274,2.35278708917331e-31,1.06369504301525e-27
43,sweet,0.865239179923967,1.12951413727125e-35,5.10653341460333e-32
44,sweet,0.851605107997893,1.75564233695359e-33,7.93725900536718e-30
45,sweet,-0.864190405160423,1.69758002901946e-35,7.674759311197e-32
46,sweet,-0.803361468874859,3.37623220125098e-27,1.52639457818557e-23
53,sweet,-0.863666017778651,2.07848405181035e-35,9.39682639823458e-32
56,sweet,-0.865239179923967,1.12951413727115e-35,5.10653341460289e-32
66,sweet,-0.865239179923967,1.12951413727115e-35,5.10653341460289e-32
69,sweet,-0.834824711781185,4.5520589774688e-31,2.05798586371364e-27
71,sweet,0.851605107997893,1.75564233695359e-33,7.93725900536718e-30
72,sweet,-0.800215144584227,7.52923802985029e-27,3.40396851329532e-23
74,sweet,-0.864714792542195,1.38530753279041e-35,6.26297535574546e-32
75,sweet,-0.85842214396093,1.50415994161929e-34,6.80030709606082e-31
83,sweet,-0.830105225345236,1.94396124299544e-30,8.7886487795824e-27
85,sweet,0.853702657524981,8.35337382370671e-34,3.7765603056978e-30
93,sweet,-0.865239179923967,1.12951413727115e-35,5.10653341460289e-32
110,sweet,-0.863666017778651,2.07848405181035e-35,9.39682639823458e-32
119,sweet,0.864714792542195,1.38530753279047e-35,6.26297535574572e-32
123,sweet,-0.854751432288525,5.73695362550092e-34,2.59367673408897e-30
126,sweet,-0.812276054364985,3.20883597473986e-28,1.45071474417989e-24
132,sweet,-0.809654117456124,6.49433747757108e-28,2.93608997360989e-24
166,sweet,-0.819617477709794,4.19628341324904e-29,1.89713973112989e-25
171,sweet,-0.848983171089032,4.37254254788723e-33,1.97682648589982e-29
266,sweet,0.842166135125995,4.33406129370563e-32,1.95942911088432e-28
294,sweet,-0.841641747744223,5.14709214672548e-32,2.32700035953459e-28
336,sweet,-0.846361234180172,1.07050559231114e-32,4.83975578283865e-29
348,sweet,-0.851606787962439,1.75460628991542e-33,7.93257503670763e-30
360,sweet,-0.815454552199344,1.34483845147854e-28,6.08001463913448e-25
383,sweet,0.801789888420301,5.04891448251988e-27,2.28261423754724e-23
524,sweet,-0.860275367150153,7.54263270059252e-35,3.41002424393788e-31
680,sweet,-0.811753268328729,3.69640533764732e-28,1.67114485315035e-24
686,sweet,-0.816995540800934,8.76872045244822e-29,3.96433851655184e-25
690,sweet,-0.853272537289334,9.73682273852688e-34,4.402017560088e-30
