Module,trait,rho,p,bonferroni
59,sweet,-0.835628363271573,1.32354207750317e-29,6.79440325486252e-25
93,sweet,-0.852802865422442,5.82614838681267e-32,2.99085327437029e-27
147,sweet,0.838589484332068,5.43633511693986e-30,2.79074263228108e-25
295,sweet,0.827929448514287,1.23469671066744e-28,6.3383155642113e-24
4332,sweet,0.822014824024962,6.37564030791253e-28,3.2729349520669e-23
5307,sweet,0.817861636908605,1.94797522553957e-27,9.99993082030737e-23
5856,sweet,0.801577328128653,1.19856923327935e-25,6.15285515903955e-21
6117,sweet,0.818455757276541,1.66324109560282e-27,8.5382481642771e-23
6936,sweet,-0.822599430605397,5.43544461910067e-28,2.79028549521533e-23
6957,sweet,0.852872024284408,5.69239870562014e-32,2.9221928755301e-27
7069,sweet,0.852842382711934,5.7493521984474e-32,2.95142995107297e-27
7672,sweet,0.824975972526493,2.82438972649264e-28,1.449900466095e-23
8116,sweet,0.834451647731392,1.87575794165372e-29,9.62920339347939e-25
8707,sweet,0.805424928454528,4.69073945088051e-26,2.40799109710951e-21
10566,sweet,-0.810773730144397,1.22891277471776e-26,6.3086237290136e-22
11294,sweet,0.808978273727122,1.93566163488169e-26,9.93671900266518e-22
15680,sweet,0.808386049515023,2.24622958187703e-26,1.15310195585657e-21
15717,sweet,0.822601336365496,5.43261321062571e-28,2.78883199167471e-23
16221,sweet,-0.821192214281239,7.97247741650698e-28,4.09267128176386e-23
16607,sweet,-0.803212357257894,8.06546449343177e-26,4.1404061977032e-21
16817,sweet,0.946710561591636,1.83012836262887e-54,9.3949639495553e-50
17061,sweet,0.911124733760085,5.42733154093712e-43,2.78612064654007e-38
17321,sweet,-0.851701426168904,8.42024937115385e-32,4.32253501468183e-27
20800,sweet,0.814900515848111,4.24561305001218e-27,2.17948545922375e-22
22276,sweet,0.929709184178318,3.16338645198448e-48,1.62392443512624e-43
23452,sweet,-0.849952022374267,1.50216912308052e-31,7.71138519333385e-27
23534,sweet,0.836329097973843,1.07395717277901e-29,5.51315914646103e-25
25472,sweet,0.836812811695771,9.29163368209861e-30,4.76986015070532e-25
26742,sweet,-0.816677188484408,2.66476490636976e-27,1.36795706468492e-22
27059,sweet,-0.834882374536174,1.6515126973757e-29,8.47804043197816e-25
30525,sweet,-0.816677188484408,2.66476490636976e-27,1.36795706468492e-22
31793,sweet,-0.819930669042264,1.12071646453221e-27,5.75319797067608e-23
32761,sweet,0.822099227805527,6.23068450278451e-28,3.19852188950443e-23
34872,sweet,0.807201601090825,3.02017578161155e-26,1.55040723749029e-21
38831,sweet,0.814308291636012,4.95319371467083e-27,2.54272199342627e-22
42198,sweet,0.821414982181199,7.50508197854023e-28,3.85273383368363e-23
42275,sweet,0.807209081517308,3.01455334086388e-26,1.54752095753247e-21
42696,sweet,0.821811661749032,6.73819716848749e-28,3.45905351644305e-23
