Module,trait,rho,p,bonferroni
55,sweet,0.843919502240958,1.04636639011743e-30,2.92836097938263e-26
92,sweet,0.847472847513551,3.36943896798891e-31,9.42971189581375e-27
118,sweet,-0.852802865422442,5.82614838681267e-32,1.63050588753339e-27
143,sweet,-0.800687134757737,1.48475487497288e-25,4.15523499309911e-21
166,sweet,0.804832704242429,5.42676298245182e-26,1.51873388826897e-21
320,sweet,-0.827929448514287,1.2346967106675e-28,3.45542221447407e-24
371,sweet,-0.823191654817496,4.62151078464562e-28,1.29337600819092e-23
602,sweet,0.851026192786145,1.05375345852398e-31,2.94903442902521e-27
603,sweet,0.813716067423913,5.77552699681776e-27,1.61633898532942e-22
817,sweet,0.812531618999715,7.83960921012196e-27,2.19399303354473e-22
934,sweet,0.819638309544902,1.21229107913859e-27,3.39271781407726e-23
1183,sweet,0.820230533757001,1.03381950666093e-27,2.89324727134128e-23
1441,sweet,-0.814308291636012,4.95319371467083e-27,1.38620079298778e-22
1480,sweet,0.806609376878726,3.49935751599982e-26,9.79330194427709e-22
1696,sweet,0.828521672726386,1.0439464247839e-28,2.92158846440023e-24
4321,sweet,-0.839189485333841,4.52954617678735e-30,1.26763879303571e-25
7207,sweet,-0.837997260119969,6.50449330528908e-30,1.8203474964182e-25
9851,sweet,0.807793825302924,2.60528124913525e-26,7.29114010382992e-22
10875,sweet,0.804840162716083,5.41682750983513e-26,1.51595334690246e-21
16182,sweet,0.836812811695771,9.29163368209861e-30,2.60035660227212e-25
23154,sweet,0.81016272215132,1.43516500193875e-26,4.01645277442579e-22
23881,sweet,0.807209081517308,3.01455334086388e-26,8.43652897974164e-22
