Accession,Genotype,Species,Total,bbduk_removed,bbduk_percentage_removed,bbduk_remaining,salmon_mapped_percentage_respect_bbduk,salmon_remaining,final_percentage_remaining_respect_total
ERR5880619,Q135,Sugarcane,71027494,2019624,2.84344,69007870,74.8188,51630860,72.6914
ERR5881408,SRA5,Sugarcane,61376352,1202493,1.95921,60173859,79.5177,47848869,77.9598
ERR5881556,Q238,Sugarcane,65183646,2262557,3.47105,62921089,73.9145,46507808,71.3489
ERR5881566,SRA3,Sugarcane,65731990,3543924,5.39148,62188066,64.8305,40316834,61.3352
ERR5881616,SRA3,Sugarcane,77433968,2226141,2.87489,75207827,73.8066,55508340,71.6847
ERR5881673,Q157,Sugarcane,63353902,2390700,3.77356,60963202,74.1846,45225308,71.3852
ERR5881730,Q135,Sugarcane,72754284,1555551,2.13809,71198733,77.2738,55017967,75.6216
ERR5881766,Q157,Sugarcane,65622828,1776109,2.70654,63846719,51.0559,32597517,49.6741
ERR5881820,Q135,Sugarcane,74954116,2098727,2.80002,72855389,64.9326,47306898,63.1145
ERR5881831,Q238,Sugarcane,63152408,2999032,4.74888,60153376,54.7869,32956170,52.1851
ERR5881912,Q135,Sugarcane,68059566,1823548,2.67934,66236018,68.7614,45544813,66.919
ERR5881975,SRA5,Sugarcane,64792956,1959600,3.0244,62833356,76.0677,47795889,73.7671
ERR5882008,Q151,Sugarcane,78119638,1482292,1.89746,76637346,81.7293,62635166,80.1785
ERR5882378,Q151,Sugarcane,68543948,1574044,2.2964,66969904,72.3212,48433438,70.6604
ERR5882600,SRA3,Sugarcane,73055412,2387010,3.2674,70668402,77.6234,54855216,75.0871
ERR5882606,SRA5,Sugarcane,63399486,1734883,2.73643,61664603,47.3809,29217244,46.0844
ERR5882631,Q151,Sugarcane,66830870,1657558,2.48023,65173312,80.4013,52400190,78.4072
ERR5882821,SRA3,Sugarcane,61241264,1424219,2.32559,59817045,50.3327,30107534,49.1622
ERR5883420,Q135,Sugarcane,65574396,1108705,1.69076,64465691,59.6005,38421874,58.5928
ERR5883596,KQB09-20432,Sugarcane,70208596,1520784,2.16609,68687812,81.483,55968890,79.718
ERR5883673,KQB09-20432,Sugarcane,74372296,1432870,1.92662,72939426,70.8835,51702018,69.5178
ERR5883918,Q157,Sugarcane,66769804,1007826,1.5094,65761978,76.4333,50264050,75.2796
ERR5883995,KQB09-20432,Sugarcane,77780894,1613290,2.07415,76167604,73.183,55741738,71.6651
ERR5884011,Q151,Sugarcane,74231602,2252512,3.03444,71979090,78.8172,56731903,76.4255
ERR5884014,Q151,Sugarcane,62430796,1202344,1.92588,61228452,78.9564,48343781,77.4358
ERR5884032,Q238,Sugarcane,64200656,2909302,4.53158,61291354,61.0764,37434553,58.3087
ERR5884047,Q151,Sugarcane,80359172,2003732,2.49347,78355440,79.6245,62390127,77.6391
ERR5884118,Q135,Sugarcane,76375338,1456839,1.90747,74918499,73.0928,54760029,71.6986
ERR5884188,SRA5,Sugarcane,60435148,2485743,4.11308,57949405,62.634,36296030,60.0578
ERR5884190,Q238,Sugarcane,65535668,1499984,2.28881,64035684,68.9541,44155230,67.3759
ERR5884419,SRA3,Sugarcane,66334456,1288040,1.94174,65046416,71.1615,46288005,69.7797
ERR5885403,KQB09-20432,Sugarcane,71101340,1464084,2.05915,69637256,61.1039,42551079,59.8457
ERR5885438,SRA3,Sugarcane,72708330,1719611,2.36508,70988719,64.8924,46066283,63.3576
ERR5886760,Q135,Sugarcane,74612098,1099642,1.47381,73512456,70.6664,51948606,69.6249
ERR5890966,Q238,Sugarcane,81557248,2748181,3.36963,78809067,75.6471,59616774,73.0981
ERR5900056,SRA5,Sugarcane,74020306,2056169,2.77784,71964137,75.9699,54671083,73.8596
ERR5900082,Q157,Sugarcane,75521260,2422604,3.20784,73098656,47.088,34420695,45.5775
ERR5902818,Q151,Sugarcane,81447428,2184575,2.68219,79262853,80.1802,63553114,78.0296
ERR5906599,SRA5,Sugarcane,56016590,1354796,2.41856,54661794,61.7522,33754860,60.2587
ERR5906601,KQB09-20432,Sugarcane,68393442,2724771,3.98397,65668671,70.7132,46436419,67.896
ERR5906604,Q157,Sugarcane,88305914,4791493,5.42602,83514421,71.5135,59724085,67.6332
ERR5906605,Q238,Sugarcane,67186114,2042613,3.04023,65143501,70.3738,45843957,68.2343
ERR5908673,KQB09-20432,Sugarcane,79095960,2704365,3.41909,76391595,73.1588,55887174,70.6574
ERR5914380,SRA5,Sugarcane,62370014,2188066,3.5082,60181948,66.2872,39892928,63.9617
ERR5917041,Q157,Sugarcane,72356954,3157139,4.36328,69199815,75.8553,52491727,72.5455
ERR5917042,KQB09-20432,Sugarcane,72910004,1853532,2.54222,71056472,66.4619,47225481,64.7723
ERR5919572,Q135,Sugarcane,70232372,1331669,1.89609,68900703,74.2326,51146783,72.8251
ERR5927876,SRA3,Sugarcane,74173636,2735723,3.68827,71437913,53.3521,38113627,51.3843
ERR5927878,SRA3,Sugarcane,74752638,1509719,2.01962,73242919,80.0935,58662817,78.4759
ERR5927880,Q135,Sugarcane,82779460,1744134,2.10696,81035326,75.3574,61066115,73.7696
ERR5927881,Q238,Sugarcane,77878196,1180579,1.51593,76697617,72.0789,55282799,70.9862
ERR5927882,SRA5,Sugarcane,66308550,1674812,2.52579,64633738,72.2254,46681976,70.4011
ERR5927883,Q151,Sugarcane,78088202,1507512,1.93052,76580690,80.444,61604570,78.891
ERR5934427,SRA3,Sugarcane,73573562,2354102,3.19966,71219460,65.6349,46744821,63.5348
ERR5935630,SRA3,Sugarcane,78095694,2360171,3.02215,75735523,65.8135,49844198,63.8245
ERR5943380,KQB09-20432,Sugarcane,85113084,2160040,2.53785,82953044,61.3537,50894762,59.7966
ERR5943487,Q238,Sugarcane,81873326,2284740,2.79058,79588586,77.418,61615892,75.2576
ERR5947504,Q135,Sugarcane,71425246,2019064,2.82682,69406182,72.8499,50562334,70.7906
ERR5947505,SRA5,Sugarcane,74831050,1994754,2.66568,72836296,70.3076,51209452,68.4334
ERR5948277,KQB09-20432,Sugarcane,73688532,1613123,2.18911,72075409,74.547,53730055,72.9151
ERR5948284,Q157,Sugarcane,66979952,3061952,4.57145,63918000,74.6095,47688900,71.1988
ERR5948286,KQB09-20432,Sugarcane,78754954,1363398,1.73119,77391556,73.5391,56913054,72.266
ERR5948291,Q157,Sugarcane,65692452,1312964,1.99865,64379488,70.2443,45222921,68.8404
ERR5948326,Q238,Sugarcane,64330330,1253508,1.94855,63076822,72.8277,45937399,71.4086
ERR5948420,Q135,Sugarcane,77400572,1378983,1.78162,76021589,77.3512,58803611,75.9731
ERR5948456,Q238,Sugarcane,70377704,1802686,2.56144,68575018,58.8172,40333905,57.3106
ERR5950057,Q151,Sugarcane,67904444,14412130,21.22413,53492314,82.5613,44163950,65.0384
ERR5950059,Q151,Sugarcane,69790020,1106490,1.58546,68683530,80.9138,55574454,79.6309
ERR5950343,SRA5,Sugarcane,77105510,1731777,2.24598,75373733,61.6058,46434591,60.2221
ERR5950349,Q238,Sugarcane,81503872,56705574,69.57409,24798298,72.5055,17980130,22.0605
ERR5950935,Q157,Sugarcane,57230024,3220554,5.62739,54009470,67.7312,36581262,63.9197
ERR5952368,SRA5,Sugarcane,67287950,2901089,4.31145,64386861,63.8613,41118286,61.1079
ERR5952766,SRA3,Sugarcane,60584520,1638156,2.70392,58946364,56.1297,33086417,54.612
ERR5954095,Q151,Sugarcane,75570092,1923031,2.5447,73647061,79.0271,58201137,77.0161
ERR5954113,Q238,Sugarcane,55433138,3492918,6.30114,51940220,65.3378,33936597,61.2208
ERR5954139,Q135,Sugarcane,70985278,2211252,3.11509,68774026,80.0455,55050513,77.552
