Gene	Family
QN05-1509_k25_TRINITY_DN72893_c0_g1_i1	TRAF	OTR
Co06022_k25_TRINITY_DN3297_c0_g1_i8	Orphans	Orphans
MT11-610_k31_TRINITY_DN21383_c0_g2_i2	MYB-related	TFF
ROC22_k31_TRINITY_DN3530_c0_g1_i11	Orphans	Orphans
F1_Bulk_1_k31_TRINITY_DN5768_c0_g1_i13	TRAF	OTR
TUC717_k31_TRINITY_DN4802_c0_g1_i11	MYB-related	TFF
GXU-34140_k31_TRINITY_DN4501_c0_g1_i2	WRKY	TFF
TUC717_k25_TRINITY_DN4436_c0_g2_i5	bHLH	TFF
SP80-3280_IQUSP_evm.model.uti_cns_0080150.1	ARF	TFF
QN05-1509_k31_TRINITY_DN14463_c0_g1_i9	Orphans	Orphans
CoV92102_k31_TRINITY_DN5367_c0_g2_i7	SAP	TFF
ROC20_k31_TRINITY_DN44872_c0_g1_i4	Tify	TFF
Co06022_k31_TRINITY_DN651_c0_g1_i1	WRKY	TFF
MS6847_k31_TRINITY_DN1794_c0_g2_i5	TCP	TFF
LCP85-384_k31_TRINITY_DN7792_c0_g2_i5	Orphans	Orphans
CC011940_cc_00028025-RA	MYB-related	TFF
T2_k31_TRINITY_DN60636_c0_g1_i1	AP2-EREBP	TFF
QN05-803_k31_TRINITY_DN44538_c0_g1_i2	GRAS	TFF
KQ08-2850_k25_TRINITY_DN9081_c1_g1_i6	PAS	TFF
ROC22_k31_TRINITY_DN1015_c0_g1_i3	WRKY	TFF
ROC26_k31_TRINITY_DN23305_c0_g1_i4	bZIP	TFF
KQ08-2850_k25_TRINITY_DN10764_c0_g3_i1	bHLH	TFF
R570_ASM_Sh01_p012800	MYB	TFF
MT11-610_k31_TRINITY_DN94852_c0_g1_i1	Orphans	Orphans
CC011940_cc_00035596-RA	C2C2-YABBY	TFF
GUC2_k31_TRINITY_DN13947_c0_g1_i2	HSF	TFF
B2_k25_TRINITY_DN29540_c0_g1_i3	Orphans	Orphans
QN05-1743_k31_TRINITY_DN3996_c0_g1_i19	bZIP	TFF
KQB09-20432_k25_TRINITY_DN6611_c0_g1_i5	Orphans	Orphans
CP74-2005_k31_TRINITY_DN118394_c0_g1_i1	TRAF	OTR
LCP85-384_k31_TRINITY_DN3658_c0_g1_i1	GRAS	TFF
LCP85-384_k31_TRINITY_DN68793_c0_g1_i12	NAC	TFF
KQB07-23990_k25_TRINITY_DN1878_c0_g1_i3	TFIID	TFF
Co8021_k31_TRINITY_DN29587_c0_g1_i1	AP2-EREBP	TFF
F1_Bulk_2_k25_TRINITY_DN33459_c0_g1_i6	TRAF	OTR
MT11-610_k25_TRINITY_DN56964_c1_g1_i9	WRKY	TFF
ROC22_k31_TRINITY_DN1692_c0_g1_i8	MYB	TFF
LCP85-384_k31_TRINITY_DN43261_c0_g1_i1	GRAS	TFF
KQB07-24619_k25_TRINITY_DN33194_c0_g1_i7	HB	TFF
QA96-1749_k31_TRINITY_DN2634_c1_g1_i4	HSF	TFF
CP74-2005_k31_TRINITY_DN19745_c0_g1_i18	MED26	OTR
GN18_k25_TRINITY_DN21684_c0_g1_i4	ABI3VP1	TFF
KQB07-24619_k25_TRINITY_DN2060_c0_g1_i10	Orphans	Orphans
MT11-610_k25_TRINITY_DN97659_c0_g1_i1	RWP-RK	TFF
SP80-3280_CTBE_evm.model.SCSP803280_000028881.2	zf-BED	TFF
R570_BAC_Sh_217A04_p000020	Orphans	Orphans
LCP85-384_k25_TRINITY_DN216_c1_g1_i7	MYB-related	TFF
T1_k25_TRINITY_DN28929_c0_g1_i8	AP2-EREBP	TFF
LCP85-384_k25_TRINITY_DN68951_c0_g1_i1	MYB-related	TFF
ROC22_k25_TRINITY_DN5509_c0_g2_i9	MYB-related	TFF
ROC26_k31_TRINITY_DN13128_c0_g1_i2	Orphans	Orphans
SP80-3280_CTBE_evm.model.SCSP803280_000085652.2	SWI/SNF-BAF60b	OTR
QC02-402_k31_TRINITY_DN966_c0_g1_i9	PHD	OTR
CP74-2005_k25_TRINITY_DN23310_c0_g2_i17	bHLH	TFF
CC011940_Sobic.001G090800.1.mrna1	PHD	OTR
QA96-1749_k31_TRINITY_DN1506_c0_g3_i1	Orphans	Orphans
GUC10_k31_TRINITY_DN9174_c0_g1_i1	AUX/IAA	OTR
GUC2_k31_TRINITY_DN2470_c0_g2_i6	C2H2	TFF
ROC22_k31_TRINITY_DN8257_c0_g1_i2	GNAT	OTR
CoV92102_k25_TRINITY_DN9878_c0_g1_i5	MYB-related	TFF
ROC22_k25_TRINITY_DN79650_c0_g2_i4	AP2-EREBP	TFF
B1_k25_TRINITY_DN34470_c0_g2_i2	Jumonji	OTR
ROC22_k31_TRINITY_DN43451_c0_g1_i4	PHD	OTR
ROC20_k25_TRINITY_DN28789_c0_g1_i3	AUX/IAA	OTR
KQ08-2850_k31_TRINITY_DN2885_c2_g1_i4	MYB-related	TFF
ROC22_k31_TRINITY_DN6351_c0_g2_i1	SAP	TFF
SP80-3280_IQUSP_evm.model.unitig_188018.1	Orphans	Orphans
T1_k31_TRINITY_DN1687_c1_g1_i6	Orphans	Orphans
QN05-1509_k31_TRINITY_DN911_c0_g2_i3	Orphans	Orphans
