Gene	Family
k25_BTx623_TRINITY_GG_185_c0_g1_i50.p1	Orphans	Orphans
k25_Tx3362_TRINITY_DN39973_c0_g1_i1.p1	AUX/IAA	OTR
k25_BTx623_TRINITY_GG_12344_c1_g1_i14.p1	Orphans	Orphans
k25_Rio_TRINITY_GG_21596_c4_g1_i1.p1	bHLH	TFF
k25_RTx430_TRINITY_GG_5301_c1_g1_i11.p1	Orphans	Orphans
k31_RTx430_TRINITY_GG_18230_c0_g1_i12.p2	E2F-DP	TFF
k25_BTx623_TRINITY_GG_723_c0_g1_i28.p1	HB	TFF
k31_BAZ9504_TRINITY_DN650_c0_g5_i1.p1	Orphans	Orphans
k25_BTx623_TRINITY_GG_3237_c0_g1_i64.p2	Orphans	Orphans
k25_R9188_TRINITY_DN32190_c0_g1_i2.p1	MYB-related	TFF
k25_BTx623_TRINITY_GG_7167_c2_g1_i14.p2	Orphans	Orphans
k25_BTx623_TRINITY_GG_6519_c21_g1_i1.p1	GRAS	TFF
k31_BTx623_TRINITY_GG_883_c1_g1_i25.p2	Orphans	Orphans
k25_BTx623_TRINITY_GG_20082_c11_g1_i104.p1	MED26	OTR
TAM428_TRINITY_DN8486_c0_g3_i1.p1	Orphans	Orphans
k25_Rio_TRINITY_GG_1193_c2_g1_i25.p3	ARF	TFF
TAM428_TRINITY_DN180_c1_g1_i1.p2	AUX/IAA	OTR
k25_R9188_TRINITY_DN1447_c0_g2_i12.p1	MYB	TFF
k25_Rio_TRINITY_GG_6102_c0_g1_i26.p2	Orphans	Orphans
k31_BTx623_TRINITY_GG_3636_c9_g1_i17.p1	SET	OTR
k25_BTx623_TRINITY_GG_9004_c0_g1_i26.p2	HMG	OTR
k25_BTx623_TRINITY_GG_3543_c8_g1_i23.p1	Orphans	Orphans
k25_Tx7000_TRINITY_DN316_c4_g1_i1.p1	AUX/IAA	OTR
k25_BTx623_TRINITY_GG_15166_c2_g1_i42.p1	Orphans	Orphans
k25_BTx623_TRINITY_GG_647_c3_g1_i6.p1	MYB-related	TFF
k25_RTx430_TRINITY_GG_24460_c6_g1_i1.p1	MYB-related	TFF
k25_BTx623_TRINITY_GG_20009_c2_g1_i34.p1	FHA	TFF
k25_BTx623_TRINITY_GG_5181_c3_g1_i1.p1	Orphans	Orphans
k25_RTx430_TRINITY_GG_26131_c2_g1_i4.p1	MYB	TFF
